Province/State,Population,density,age
Beijing,19621386,1167.4,80.18
Tianjin,12938224,1144.46,78.89
Hebei,71854202,382.81,74.97
Shanxi,35712111,228.48,74.92
Inner Mongolia,24706321,20.88,74.44
Liaoning,43746323,299.83,76.39
Jilin,27462297,146.54,76.18
Heilongjiang,38312224,84.38,75.98
Shanghai,23019148,3630.2,80.26
Jiangsu,78659903,766.66,76.73
Zhejiang,54426891,533.59,77.73
Anhui,59500501,425.91,75.8
Fujian,36894216,304.15,75.76
Jiangxi,44567475,266.87,74.33
Shandong,95793065,622.84,76.46
Henan,94023567,563.01,74.57
Hubei,57237740,307.89,74.87
Hunan,65683722,312.77,74.7
Guangdong,104303132,579.46,76.49
Guangxi,46026629,195.02,75.11
Hainan,9171300,255.04,76.3
Chongqing,28846170,350.5,75.6
Sichuan,80418200,165.81,74.75
Guizhou,34746468,197.42,71.1
Yunnan,45966239,116.66,69.54
Tibet,3002166,2.44,69.17
Shaanxi,37327378,181.55,74.68
Gansu,25575254,56.29,72.23
Qinghai,5626722,7.8,69.96
Ningxia,6301350,94.89,73.38
Xinjiang,21813334,13.13,72.35
Hong Kong,7061200,6369.01,84.23
